nomor,message
030524,pokoknya izin dulu ke yg punya desa
030524,ya ke kadeslurah nya berarti
030524,gini ae mending kalau bisa minggu² ini deh survey biar gak molor² waktu soal e kita juga harus mikir nanti mau ngapain kan
030524,trs kita ke tempatnya misal sekolah gitu trs kita negosiasi sama guru disana mau buat agenda apa gitu
030524,la meh survei kpn?
030524,senin ae
030524,usahakan minggu² besok itu biar ga molor²
030524,minggu ini brt sabtu minggu?
030524,soal e belum mikirin mau buat apa juga kan
030524,sabtu minggu balai deso prei
030524,minggu depan nek bisa pas hari kerja
030524,jangan jumat soal e biasa setengah hari tok
030524,kalo senin aku jam 1 ada kuliah
030524,tentukne tanggal ae
030524,pagi kalik yo
030524,yo sama weh
030524,kalian cowo² salah satu jadi ketua kelompoknya ya
030524,katanya si alja
030524,ridho ga arek e ?
030524,6282147205734 kamu ikhlas jadi ketua ga?
030524,la opo aldino ketua ne
030524,poll
,yaudah kita vote aja ketua ppkl
030524,siapa aja sih aku
030524,yaudah kita viting aja
030524,stk20240312wa0019.webp file attached
030524,nek gak anggun yo gpp ya nggun
030524,tak bisa dongg
030524,mohhhh
030524,bisa lah
030524,apelah kau ini raju
030524,pas survey ketua kelompok wajib ikut ya
030524,buat mewakili kita nembung katakata ke kadeslurah atau siapa lah
030524,stk20240503wa0001.webp file attached
030524,eh guys² kita kan masih rencana mau ke tempat e itu hari senin kan kalo jadi mending hubungi sana ne dulu deh besok atau lusa takut e pas kesana lagi ada repot kan gaenak
030524,ngehubungi siapa?
030524,perangkat desanya mbak
030524,tau nomernya dari mana?
030524,bisa lewat website bee nek ada
030524,kita di desa gagak sipat kan
030524,ho o
030524,sambil yang lain tanya² kating deh buat yang ditanyain ke perangkat desa tu apa aja
030524,media omitted
030524,yaudah besok kan libur harus e tadi sih nek nge hubungi tapi gpp jangan senin kesana nya senin besok buat nge hubungi pihak sana terus to kita ngajuinnya rabu atau enggak sana bisanya kapan gitu
030524,uhuk uhuk
060524,survei jadinya kapan?
,rabu sabtu uts prak
060524,kamis jumat minggu?
060524,kapan?
060524,di polling aja biar pada milih
060524,poll
060524,tak tunggu sampai jam 8
060524,62881027503020 62895364907264 6282234423727 6282228293243 6282220779977 6282134657795 6285713550614 6282147205734 6282223543586
060524,meh rame survey ne?
060524,iyo
060524,diusahakan datang semua tapi kalo enggak ya yang bisa aja
060524,nek kamis brati bar prak jarkom?
060524,kamis libur kan
060524,tgl merah
060524,kamis jumat tanggal merah
060524,eh oiyo deng wkw
060524,okei
060524,iki survei ne neng perangkat desa?nek perangkat desa hari libur kan libur yoan biasanya nek libur yo tdk bisa izin nek meh pkl neng tempat e kui
060524,perangkat desa i kyk wong dinas dadi ojo golek hari libur
060524,lha iyo kan
060524,hoo juga
060524,kita survey itu sambil namu silaturahmi cari waktu beliau nya longgar soal e kalo hari kerja kita tanya² waktunya singkat karena kades juga harus kerja ini sepengalaman ku aja soal e sering nyari buat nemuin kades aku kalo di rumah
060524,lha ws di wa ni rung?
060524,atau gini aja deh ni kan senin kebetulan longgar kan nah yang cowo² tu coba jalan² muter² daerah sana deh sambil liat² kira² ada apa aja gitu
060524,udah tapi blm dibales
060524,wis cmn durung di bales
060524,yowes nunggu dibales sek tekok beliau longgar e dino opo
060524,iyo emang this message was edited
060524,ojo adw sng memutuskan tapi kono
060524,kita cuma ngajukan nek misal beliau ne longgar hari lain yo gpo kita ngikut aja
060524,iyoo
060524,iyohh siapp
060524,62881027503020 6282147205734 62895364907264
060524,gbs aku
060524,ga harus sekarang tapi ini kan mumpung masih ada waktu sebelum dijawab sama sana nya minta kapan gitu lo
060524,itu cuma saran hari ini mumpung longgar tok nek bisa kesana
060524,ca
060524,ketok e ko disawang desa ne lumayan maju deh mau pkl apaan nanti kira² guys?
060524,aku ng ngawi
060524,seloso wae leh survei
060524,media omitted
,desane wae nganut nu
060524,boleh
060524,yang nge hubungi perangkat desa gagak sipat udah ada respon belom dari sana?
060524,belom
060524,kalo ga direspon sampai besok survei nya pas hari kerja aja
060524,langsung gitu?
060524,iyaa
060524,ya gpp sih tapi takut e ga sopan ga dikabari dulu
060524,gapapa nanti kan juga ketemu staf stafnya juga
060524,besok?
060524,minggu depan aja
060524,kalo langsung besok blm ada persiapan apa apa
060524,nah yang cowo² mumpung nanti nek longgar kan ada tanggal merah tu atau rabu habis pak helmi bisa coba jalan² atau muter² aja daerah sana sambil liat² gitu
060524,langsung cod ksana aja
060524,guys keknya kita salah tangkap deh
060524,salah tempat gees bkn di kelurahan
060524,ke kantor pra gagak sipat langsung
060524,di kantor pimpinan ranting aisyiyah
060524,kalo dari temn ku fkip gitu langsung ke kantor pra nya
060524,itu disebelah mana?
060524,ga tau. nanya dosen
060524,ya ws besok coba tanya ke bu yeti soal e kalo sekarang takut e udah tidak menerima chat² an mahasiswa
080524,assalamualaikum...
teman², pekan ini teman² sudah mulai kuliah lapangan. silahkan dimulai dg mendatangi tempat kuliah lapangan masing² memperkenalkan diri serta maksud kedatangannya memetakan masalah yg ada di tempat kuliah lapangan dan menjalin kesepahaman dg tempat kuliah lapangan
090524,media omitted
100524,list pertanyaan nek meh rene cuy
100524,alamat pra gagak sipat nya tur
100524,kayaknya bakalan kita deh yg di kasih pertanyaan sama pihak sana
100524,emang soal e tadi temenku anak ilkom bilang gitu
100524,ws iki tok
100524,iki i kantor desa ne gagak sipat udu si?
100524,trs opo meneh menurut mu? this message was edited
100524,pra ne tur
100524,pimpinan ranting aisyiyah
100524,ini mau ke kantor desa dulu apa langsung ke pra nya? soal e info dari temen² yang udah survey beda² soal e
100524,ada yang ke kepala desa dulu ada yang langsung
100524,ng ngerti alamat e mending lgsg pra ne
100524,di surat e itu kan ada tembusan ke pcm sama kepala desa ngemplak to nah itu harus dikasih ke 2 2 nya opo salah satu?
100524,surat pengantarl200220179dyah anggun ratna ningrumrev.pdf file attached
,surat pengantarl200220179dyah anggun ratna ningrumrev.pdf
100524,22 ne
100524,yae
100524,banyak bet
100524,dyah anggun ratna n. _ 12
100524,lha mau ke sana kapan?
100524,brati ng kades e sek baru ng pca ne
100524,kpn kpn gun
100524,iya ke kades nanti diarahin ke pcm terus ke pra baru rtrw gitu
100524,senin nutut ko waktunya asal ga lelet semua aja
100524,seninnya mau berangkat nya jam brp nan?
100524,7 an lah
100524,trs kumpul nya di bagian mana?
100524,7 udah harus berangkat dari ums
100524,wokeii
100524,siapp
100524,usul jam 8 ae
100524,opo set 9 ngono
100524,nk jam 7 adw otw ko kene trs berlin kon otw ko wonogiri jam piro
100524,aku izin nek senin ada acara
100524,jam 8 nek jam 9 kesiangan soal e masih banyak kesana kesini ne aku yo ada matkul jam 1 soal e
100524,aku izin sek lha acara keluargaku minggu ro senin
100524,kan gor jaluk izin to?urg pkl
100524,hoo
100524,belom
100524,okey no izin sek akumeh acara kelurga senin e
100524,soal e kelompok e kita telat banget harus e pas puasa kemarin survey tapi gpp masih ada waktu
100524,kelompok laine seng infor y banyak yg belum og this message was edited
100524,nek ilkom malah udh
100524,nanti lampir ne foto yang hp ne bagus buat foto manti pinjam duluya
100524,iya ilkom udah emang
100524,kira tu pkl sampe tanggal 27 juli nah kita survey dulu nanti baru kegiatan e mo kapan sambil runding dulu
120524,guys aku punya saran kan kita pkl 7x nah itu semisal dibuat 4x ke sana gitu gmn? misal hari 1 itu kita ada 2 materi hari ke 2 ada 2 materi trs buat hari hari terakhir ke 4 itu dibuat final class. kayak dibuat perlombaan gitu.
,tapi buat materi nya apa aku blm kepikiran soal kita blm tau lokasinya mau di sekolahan atau di tempat tpa
120524,saranku kita buat panyk plan aja biar besok pas kita dapat tempat e kita udh ada banyak gambaran. plan nya ga harus yg sempurna bgt gpp penting udh ada gambaran. biar pas besok ditanya sama pihak pra atau sekolah kita bisa ngasih agenda kita mau ngapain aja
120524,bolee
120524,buat temen² yang lain ayo dong tanggap kalo ada kayak gini jangan diem² doang ga mau bantuin ngasih ide atau apalah gitu. plis ini tu tugas bareng² ya kalo ini berhasil juga yang seneng kita semua. jangan cuma nerima apalagi manutmanut aja. kita tu kerja kelompok bukan individu jadi 
120524,iya lebih mempersingkat hari aja
120524,you pinned a message
120524,ayo guyss tanggap di grup ini guys jgn pada diem diem aja
120524,btuulll
120524,benul benul
120524,wait kota juga kuliah lo temen² jadi dipertimbangkan ya kita bisa aja buat mempercepat tapi kita juga ounya tanggung jawab kuliah takut e malah keteteran cuma demi 1 project. kalo aku bagus e bertahap ya 1 minggu 1 pertemuan. pikiran anak sd ga kayak anak kuliahan yang bisa dicepet² in
120524,aku merasa kayak yang berusaha nyiapin apa² tu ko kayak ber 3 atau 4 doang ya yang lain tu ga tahu aku apa kalian ga berusaha bantuin nyari info atau berusaha in ide ide apa gitu. mbisu terus soal e dari awal pembahasan sampe sekarang tu
120524,betull
120524,iya siap  dan juga butuh ke sabarannya juga menghadapi anak sd
120524,kalo dimintain tolong gini pada ga bisa tapi juga ga bantuin apa²
120524,setidaknya ngasih saran atau masukkan sedikit gitu
120524,biar gak keteteran aja dan kita juga msh banyak tanggungan yang lain juga kan
120524,nggih
120524,yaudah
tanggapan, saran atau apapun ditunggu jam 14.00 ya tmn tmn. barangkali lagi pada isoma
120524,iyohh
120524,nek materine apa engga tentang islam gitu to?
120524,disesuikan dengan jurusan e kita kita lan di infor ya biasanya materi nya tik
120524,ada kan anak sd mapel tik 1 jam an biasanya 1 minggu
120524,owalah aku kira karena kita pkl e kemuh trs ngajar nya tentang agama gitu
120524,ada
120524,enggak lah kalo misal kita nya diminta buat ngajarin ngaji ya coba ngasih terobosan ngaji nya berbasis digital gitu pake al quran online
120524,ya udah kek gitu contohnya. nanti kalo misal iya bisa kita mintanya anak sd kelas 1 aja atau kelas dasar banget jangan kelas yang udah atas² soal e biasanya mereka udah ok kalo pegang komputer
120524,rosida
120524,nahh iyaa betul biar ngajar yg basic² nya aja jd lebih gampang
120524,oh ya 6281393687161  kemarin kan surat pengantarnya udah jadi nanti di print 2 atau 3 ya buat jaga² kalau basah  nanti beli map kertas  bening buat nyimpen.
120524,okee
120524,kasih tempat buat pal lurah pcm pca ketua kelompok buat tanda tangan
120524,gimana gimana?
120524,tempat ttd dimana?
120524,tambahin tempat dibawah anggota nya buat tanda tangan
120524,surat pengantarl200220179dyah anggun ratna ningrumrev.pdf file attached
,surat pengantarl200220179dyah anggun ratna ningrumrev.pdf
120524,di suratnya?
120524,iyap
120524,lampiran kan isinya cmn anggota aja
120524,iya katanya temenku itu ditanda tangani buat mengetahui aja
120524,lampiran itu ga pake ttd
120524,asline itu isinya cmn gitu doang kalo download di webnya
120524,kemarin punya anak ilkom di ttd soal e
120524,trs pak lurah pcm pra itu sebagai apa?
120524,sebagai pihak yang mengetahui ada nya kegiatan tersebut
120524,ibarat kita minta izin lah
120524,mengetahui itu buat yg buat kegiatan namanya lppik. yg dapet sura itu ga ttd ini kan surat izin
120524,liat surat e yg anak ilkom dong biar tau gmn format e
120524,oh ya besok kan kumpul di ums kampus 2 ya bawa almet  buat cewe² usahain pake rok dulu terus kita jam 08.00 wib harus udah jalan keluar dari kampus 2  dilarang telat
120524,bentar ini masih tak tanyakan anak ilkom belum dijawab masih centang 1
120524,okee siap
120524,hooh
120524,iya kayak sisi bagian kiri bawah itu  di ksh buat kayak ttd lurah trs yg bagian sisi kanan nya ttd pca atau pcm nya trs baru ttd ketua kelompok nya
120524,iya mba 6281393687161
120524,mang eak
120524,temenku yg ilkom i katane pertama izin e ke pak lurah nah dari pak lurah disarankan ke target pkl e mana this message was edited
120524,pinned a message
120524,ya kan kita emang ke pak lurah dulu terus ke pra nah pra ini kan kita ga tahu alamatnya kan dari bu yeti pun diauruh tanya ke pcm. otomatis kan kita ke pcm dulu
120524,ho o lin kita ke kelurahan nyerahin surat trs ke pcm trs ke pra buat tau lokasi kita pkl nya
120524,mau tanya bsk mau kumpul di feb atau di siwalnya?
120524,di siwal ae agak luas
120524,okei siapp
120524,nggun kamu ketua ya
120524,ga
120524,km aja
120524,atau 62881027503020
120524,stk20240512wa0001.webp file attached
120524,you changed the group description
120524,rek besok bawain 2 bolpoint ya warna biru sama hitam. yang hitam tak bawain sedangkan warna biru nanti bawain ya aku ga punya soale
120524,okeei
120524,aku ada
120524,ok besok bawa ya da
120524,sesok kumpul jam brapa dimana
120524,jam 8 di siwal
120524,ketauan ga baca yo ngunu i
120524,lah yo
120524,telat moco trs o
120524, .
120524, sopo ae seng mangkat
120524,semua kecuali berlin
120524,besok kamu sama alja perwakilan buat ngomong izin ke kadesnya
120524,izine piye
120524,ga enek contekan po
120524,cati di google tanya² temen lah dino moso yo blejet meneng ra usaha moso yo aku anggun dll maneh sing nyiapne opo²
120524,lah yo
120524,maksute izin ameh ngopo
120524,mau pkl kemuhammadiyahan
120524,izin mau pkl
,kata² ne buat sendiri yo
120524,tinggal ngomong ke kadesnya kayak semisal gini perkenalkan nama saya blabla ... saya dari universitas muhammadiyah surakata izin meminta waktunya sebenta blabla izin mengajukan surat izin pengantar dan meminta tolong untuk menandatangin di kertas surat izin pengantar gitu
120524,contohnya kayak gitu
120524,serahkan semuanya kepada 6282147205734
120524,tinggal km jabarin aja
120524,iya sama km juga lah
120524,aku kan cuma jadi pendamping
120524,mbok kira saos po pendamping i
120524,iya setidaknya juga bantuin juga kali gak cmn dampingin aja
120524,kan aku pemain figuran alja mc ne
120524,hadehh
120524,karepmu lah
120524,kan tugase figuran emang dadi pembantu
120524,yaya
120524,aku gaada almet almet ku dirumah
120524,pinjem dulu nad
120524,mo nyari pinjeman aku lagi ada acara finic sampek tengah malem
120524, .
120524, pagi juga belum tentu ada yang bangun too
120524,opo kudu pake almet?
120524,.
120524,pake setiap pkl bawa almet buat identitas
120524,trs nk aku ga bawa?
120524,besok gpp ga bawa soal e masih survey besok pas mulai pkl nya bawa ya
120524,apa mau pake almet e mbakku tp agak beda dikit almet e wkwk
120524, jadi besok ga usah pake almet gpp kan
120524,pake
120524,ukuran apa
120524,katane masih surve ga perlu almet gpp
120524, l
120524, kebesaren
120524,rosida
120524,pake wey kan itu tadi nadia almet e katanya di rumah
120524,almet ku aja ukuran s
120524,nyileh angga kae lo
120524,aku raiso jupuk
120524,aku ssk lgsg lokasi gaikut kumpul kampus
120524,oou
120524,ngopo rek ga iso jupuk
120524,nah iki ae ketuane
120524,terserah nek udah tahu tempat e tapi tunggu bareng² sama temen² ya
120524,suruh bawain alja ae mereka 1 kost an
120524,null
120524,sampek tengah wengi ra rampung ikuu
120524,meh ng balai desa kan?
120524,acara opo kui
120524,iya
120524,desamu to thur?
120524,bkn
120524,kepo
120524,oh kirain desamu
120524,tetangga desamu po?
120524, ngko tak omongne angga kon jemput koe
120524,jauh
120524,sopo jirr
120524,angga
120524,ngene ki mending r melu aku
120524,dibutuhkan kerja sama bukan hanya kerja ketua
120524, tenang ae
120524,meh bareng klompok e candra ora?
120524,mangkat e
120524,ayo
120524,enek dimas
120524,temen² yang udah tak tulis bagian² di deskripsi besok disiapkan masing ² ya terutama dekdok
120524,ngko yen misal memori ku entek nyilih hp ne ya
120524,yang lain kalo misal ada ide taruh sini aja
120524,changed the group name from pklpp to pkl muhammadiyah
130524,iki meh ng balai desa gagak sipat e kan?
130524,iya
130524,surat pengantarl200220179dyah anggun ratna ningrumrev.pdf file attached
,.surat pengantarl200220179dyah anggun ratna ningrumrev.pdf
130524,udah fi print?
130524,loh kemarin tak suruh ngasih tempat buat ttd ga dikasi o?
130524,balai desa ngemplak i to di tembusan r
130524,udh
130524,gagak sipat sek weh
130524,surat i yg ttd cmn pihak 1
130524,coba liat di tembusanne
130524, ngemplak tu kecamatan bukan si?
130524,setauku kecamatan
130524,mosok kapala desa ne ng kecamatan
130524,this message was deleted
130524, this message was deleted
130524,  this message was deleted
130524, bukan kita ke gagak sipat soal e pra ne di gggk sipat
130524,  yoo
130524,  ayooo guyss
130524,  yuk
130524,  yuk
130524,  null
130524,  otw
130524, ayo wehh
130524, stk20240509wa0012.webp file attached
130524, ngenteni 6282147205734 iki lo jek dandan
130524, hadehh
130524, gustii
130524,  stk20240509wa0001.webp file attached
130524, sekalian buat video a day in my life this message was edited
130524,wkwkwkwk
130524, paling dandan sisiran doang gada 5 menit lah
130524,  aku lo dari jam 7.15 disini
130524,  ayo 6 menit lagi
130524,  yuk
130524,  yuk
130524,  otw
130524, yang cewe² dah pada siap belom o? telat tinggal lo
130524,  yuk
130524, pimpinan cabang aisyiyah ngemplak
130524,  habis dhuhur ya karena sy sekarang ada keperluan kira2 dhuhur baru datang alamat kelipan rt 02 rw 07 selatan sdn 1 gagaksipat kira2 300 m kanan jalan ada papan nama pimpinan aisyiyah rt gagaksipat
130524, sdn 1 gagaksipat
130524,  wa.me6285642039440
130524,  pca
130524, ibu dovir pca.vcf file attached
130524,  fathurrobbany
130524,  maaf ya g bisa ikut soale semalem habis pameran selesai jam 1 malem trs tadi jam 8 baru bangun
130524,  location
130524, shareloc guys
130524, 6282147205734 62881027503020 62895364907264
130524,  lgsg lok ae
130524,  ki gone fikri
130524,  rmh e fikri adoh
130524,  ng kene panas jhon kek di oven
130524,  golek o masjid ng kono sek
130524, buat apa ke masjid?
130524,  nak gone fikri kadohan
130524,  leren to
130524,  biasanya aku ke klenteng
130524,  ga ke gereja to
130524, ngopo ora neng greja ae
130524,  beda server kalo ini
130524,  yoh neng gereja kathedra
130524, mending ke vihara
130524,  ke candi
130524,  ra cetho kabeh
130524,  mending do sholat lak nek lok
130524,  kan server mu to yss
130524, lagi ora sholat o
130524,  inpo greja terdekat dong
130524, hemm
130524,  kamu paling server e cak yes
130524, stk20240509wa0012.webp file attached
130524, stk20240305wa0021.webp file attached
130524, stk20240513wa0004.webp file attached
130524,  tanya alja orangnya pendeta di gereja
130524,  yo ora nu
130524, oh pendeta to tapi gereja ku yang ada pastornya
130524, grejanya alja adanya astor
130524,  enek fullo ga?
130524,  suka oreo
130524,chocolatos enek e
130524, ayo otw
130524, helleh sak karepmu lah
130524,  ga suka alja to
130524, ayo otw wehh betah men neng omahe fikri this message was edited
130524, buat apa yoan?
130524, yuk
130524,  ga bisa di goreng
130524,  wkwkwkwk
130524,  buat koleksi nu
130524,  di rebus aja
130524,  tak kick koe ngko
130524, 62881027503020 62895364907264 6282147205734 di mana?
130524, runahnya fikri
130524,  null
130524,  oke
130524, dang ayo astaga
130524,  koe ngd
130524, ng dalem e ibuk e
130524,  aku ng sd
130524,  lurus ngidul enek masjid
130524, hadehh
130524,  koe metu o
130524,  hari ahad 195 2024 pengajian secabang ngemplak bertempat dirt gagaksipat maka dana untuk konsumsi gotong royong berhubung sekarang yg datang pengajian bertambah maka data mohon ditambak dari kelompok maupun pribadi dan disetorkan pas pengajian ranting 
130524,  assalaamualaikum wr wb ibu2 anggota aisyiyah ranting gagaksipat pengajian rutin
selasa 14, 5 2024
130524,  media omitted
130524,  jam 9 pagi
130524,  jadi iki kurang 4 kegiatan
130524,  nak aku usul senam ii piye?
130524,  nguawur
130524,  heran mosok r enek kegiatan ngo bocah bocah e gur ibu2 tok tk usul gae tpq ngo anak2 e ibu2 e
130524, notulensi hasil survei pra gagak sipat
senin, 13 mei 2024
,1. ada 4x dari pengajian rutin pimpinan cabang.
,2. pengajian sbg berikut
,a. pengajian rutin 1 bulan sekali selasa ke 2 untuk warga aisyiyah
,b. pengajian pimpinan 2 bulan sekali sabtu ke 3
,c. tgl 19 mei pengajian cabang dekat sd 3 gagak sipat di masjid krangkungan.
,pengajian di pra gagak sipat yg memungkinkan  terlaksana oleh kita mhs. pkl ada
,1. pengajian pimpinan di hari sabtu 1 kali.
,2. pengajian rutin 3 kali.
,3. pengajian cabang 1 kali di tanggal 19 mei
,1. berdasarkan dari jadwal pengajian tsb. kita kurang 2 kegiatan.
,2. besok sabtu kita diskusikan dgn ibu² pengurus aisyiyah untuk agenda kita yg kurang 2 itu.
,pengurus ada 30 umum sekitar 4050 this message was edited
130524,  pinned a message
130524, changed the group description
130524,  changed the group description
130524, dokumentasi ng desk ya
130524, guys kalian ada ide ga besok tu mau ngajuin apa di pengajian?
130524, dyah anggun ratna n. _ 12
130524, rencana ku itu pas pengajian ditambah kegiatan program yg kita buat. soalnya kalo cmn ikut pengajian dari pra brt ga ada program.
,di spreed sheet itu baru rancangan nya kalo hari nya mau diganti silahkan. pokoknya itu tak ambil pas jadwal pengajian soalnya biar audience nya banyaj
130524, program apa?
130524,  programming
130524, sing bener ae ta lah
130524,  di bagian tgl 18 itu kan ada pengajian dari pra nah abis pengajian kita adain sosialisasi agenda. nanti dijelaskan untuk beberapa waktu yg akan datang kita bakal adain ini ini ini
130524,  sama kayak di tgl 11 juni sama 9 juli
130524,  aku boleh ngide ga?
130524,  menurut mu piyee?
130524,  boleeh
130524, waduhh
130524, kita kan anak infor ya nah aku mikir ibu² tu termasuk orang² yang agak gaptek terus tadi bu sriyati bilang kalo kepengurusan pra tu baru² aja setelah muktamar. kebetulan besokada kegiatan pengajian rutinan ibu² tu kan nah pasti mereka tu agak kurang buat share informasi² mengenai 
130524, gitu juga boleh
130524, bolehh sih mon soalnya agenda yg tak buat di tgl 11 itu juga masih ngasal.
,btw ini mau ditaruh di tgl brp?
130524, lumayan nambah pengetahuan
130524, wokeii
130524, tapi ya ga harus mulai besok juga sih
130524, iya besok baru perkenalkan. kalo mulai kita blm ada bahannya
130524, di taruh pertemuan ke berapa gitu ?
130524, ya udah sambil siap2 bahan adalah hp sama power point sih kalo siap tu. tapi takut e ga ada layar lcd sama proyektor buat presentasinya
130524,  iyohh
130524, enak e di keberapa?
130524, tugas perlap ga sih itu
130524, biasanya free nya kapan?
130524,  bentar ² kita bakal ngadain lomba ga? kalo engga mending di tgl 9 juli
130524, iya tau tp ku gak punya lcd nya
130524, engga lah ibu² mbok suruh lomba apaan
130524, gak usah aja
130524, lebih cepat lebih baik to 6281393687161 ?
130524, sebenernya tu fki ada tapi kalo yg minjem non ormawa ga tau boleh apa engga
130524,  lah yo
130524, anak e sg lomba. kan aissiyah yg penting perempuan kan
130524, ealah
130524, anak2 lomba apa?
130524,  tp td bukannya  ibuknya bilang di tempat pengajiannya itu ada anak muda juga to? this message was edited
130524, mewarnai ae
130524, ada tapi masih kurang tertarik
130524,  menurut ku itu kayak lomba buat kaligrafi lomba cerita islami. trs nanti ada awarding juga biar ada eforia nya kalo ada lomba di akhir kegiatan
130524, oalah ya maka dari itu kan isinya baru pengajian nya doang
130524, hadehh malah ngelawak ae 6281393687161
130524,  kok ngelawak?
130524, lah aku ra ngelawak wei
130524, lah masa lombanya mewarnain 6281393687161 ?
130524,ptt20240513wa0015.opus file attached
130524,  kan anak anak
130524,  nek saran e anggun i ini lo
130524, kalo gak tuh kayak buat kaligrafi arab tuh lho
130524, sebener e lomba yo gpp pas diakhir kegiatan trs urunan berapa gitu per org dikasih hadiah ra ketan buku
130524,  kek e wis capek
130524,  mending leren sek
130524,  owhh
130524,  hemm
130524, nanti kan ada iuran rutinan lin jadi pake itu aja
130524, tinggal berapa minggu nya aja
130524, hooh aku ngantuk
130524, raup sek
130524, leren sek ae rung leren kan
130524, okey no ben anak y seneng ben tdk acara ibuk tok
130524, wis raup aku
130524, aku yo rung leren meh turu sek
130524,  hooh gak papa
130524, iyohh
130524, di gabung. coba liat di link yg tak kirim. jadi pas seminarworkshop itu setelah pengajian tapi kita juga ikut pengajian trs yg lomba juga sama konsepnya.
,tapi kalo hari selasa jam siang kita itu ada matkul rpl kalian pada keberatan engga kalo ganti jam?
kalo keberatan, cari hari lain aja gpp
